base_pos_m,x0_m,input_force_N
0.0,-2.164912482613444e-14,-2.667166184092129e-12
1.1676396997497914e-05,1.0648533862648815e-05,0.0013119215231547118
2.335279399499583e-05,2.129661034349934e-05,0.002623937998368886
3.5029190992493745e-05,3.194412070460928e-05,0.003936187287828319
4.670558798999166e-05,4.259095628569901e-05,0.005248807202678572
5.838198498748957e-05,5.323700828900893e-05,0.006561935461067686
7.005838198498749e-05,6.388216771459783e-05,0.007875709664683702
8.17347789824854e-05,7.452632548910482e-05,0.009190267299136516
9.341117597998332e-05,8.516937247628694e-05,0.010505745719768568
0.00010508757297748124,9.581119962720922e-05,0.011822282154752782
0.00011676396997497914,0.00010645169785659878,0.013140013674378464
0.00012844036697247705,0.00011709075790426766,0.014459077158404707
0.00014011676396997498,0.00012772827048916613,0.015779609299634702
0.0001517931609674729,0.00013836412631979916,0.01710174658976244
0.0001634695579649708,0.00014899821622939367,0.018425625320785226
0.00017514595496246873,0.00015963043109986898,0.019751381560240387
0.00018682235195996663,0.00017026066167324784,0.021079151112313916
0.00019849874895746454,0.00018088879872180179,0.022409069523644874
0.00021017514595496247,0.0001915147330589186,0.023741272069384152
0.00022185154295246038,0.00020213835567163736,0.025075893754597924
0.00023352793994995828,0.00021275955765651764,0.026413069291134943
0.0002452043369474562,0.0002233782300146031,0.027752933056641154
0.0002568807339449541,0.00023399426382739047,0.029095619101494503
0.00026855713094245203,0.0002446075502678124,0.03044126113513573
0.00028023352793994996,0.00025521798074575584,0.031789992529588064
0.00029190992493744784,0.00026582544681136717,0.03314194629241324
0.0003035863219349458,0.0002764298399741245,0.034497255028755065
0.0003152627189324437,0.00028703105187375994,0.035856050948200456
0.0003269391159299416,0.00029762897429064814,0.037218465851390915
0.0003386155129274395,0.0003082234993239544,0.03858463113838548
0.00035029190992493745,0.00031881451920156304,0.039954677769819785
0.00036196830692243533,0.00032940192618406266,0.04132873623990216
0.00037364470391993326,0.0003399856127098634,0.042706936580670214
0.0003853211009174312,0.00035056547141290757,0.04408940835000923
0.0003969974979149291,0.00036114139532941606,0.04547628064462957
