x_m,force_N
0.0,0.0
2e-05,0.002464161327718914
4e-05,0.004929325193093459
6.000000000000001e-05,0.007396494133779265
8e-05,0.009866670687431963
0.0001,0.012340857391707186
0.00012000000000000002,0.014820056784260564
0.00014000000000000001,0.017305271402747728
0.00016,0.019797503784824304
0.00018,0.022297756468145927
0.0002,0.02480703199036823
0.00022,0.027326332889146838
0.00024000000000000003,0.029856661702137396
0.00026000000000000003,0.03239902096699551
0.00028000000000000003,0.03495441322137684
0.00030000000000000003,0.03752384100293699
0.00032,0.04010830684933161
0.00034,0.04270881329821632
0.00036,0.04532636288724675
0.00038,0.04796195815407855
0.0004,0.05061660163636732
0.00042,0.053291295871768715
0.00044,0.055987043397938356
0.00046,0.058704846752531875
0.00048000000000000007,0.06144570847320492
0.0005,0.06421063109761307
0.0005200000000000001,0.06700061716341202
0.00054,0.06981666920825737
0.0005600000000000001,0.07265978976980476
0.00058,0.07553098138570978
0.0006000000000000001,0.07843124659362814
0.00062,0.08136158793121538
0.00064,0.08432300793612722
0.0006600000000000001,0.08731650914601924
0.00068,0.09034309409854704
0.0007000000000000001,0.09340376533136634
0.00072,0.09649952538213268
0.0007400000000000001,0.09963137678850176
0.00076,0.10280032208812917
0.0007800000000000001,0.10600736381867054
0.0008,0.10925350451778153
0.0008200000000000001,0.11253974672311774
0.00084,0.11586709297233483
0.0008600000000000001,0.11923654580308843
0.00088,0.12264910775303411
0.0009000000000000001,0.12610578135982758
0.00092,0.12960756916112443
0.0009400000000000001,0.1331554736945803
0.0009600000000000001,0.13675049749785084
0.0009800000000000002,0.14039364310859168
0.001,0.14408591306445837
0.00102,0.14782830990310664
0.0010400000000000001,0.15162183616219205
0.0010600000000000002,0.15546749437937032
0.00108,0.15936628709229697
0.0011,0.1633192168386277
0.0011200000000000001,0.16732728615601816
0.0011400000000000002,0.17139149758212394
0.00116,0.17551285365460062
0.00118,0.17969235691110397
0.0012000000000000001,0.1839310098892895
0.0012200000000000002,0.18822981512681292
0.00124,0.19258977516132972
0.00126,0.19701189253049575
0.00128,0.20149716977196647
0.0013000000000000002,0.2060466094233976
0.0013200000000000002,0.21066121402244473
0.00134,0.21534198610676342
0.00136,0.22008992821400947
0.0013800000000000002,0.2249060428818384
0.0014000000000000002,0.22979133264790585
0.00142,0.2347468000498674
0.00144,0.23977344762537878
0.0014600000000000001,0.24487227791209565
0.0014800000000000002,0.25004429344767354
0.0015,0.255290496769768
0.00152,0.26061189041603494
0.0015400000000000001,0.26600947692412974
0.0015600000000000002,0.2714842588317081
0.00158,0.2770372386764257
0.0016,0.2826694189959381
0.0016200000000000001,0.288381802327901
0.0016400000000000002,0.29417539120997005
0.0016600000000000002,0.3000511881798008
0.00168,0.30601019577504884
0.0017000000000000001,0.31205341653336993
0.0017200000000000002,0.3181818529924197
0.0017400000000000002,0.3243965076898537
0.00176,0.33069838316332745
0.0017800000000000001,0.3370884819504968
0.0018000000000000002,0.34356780658901737
0.0018200000000000002,0.3501373596165447
0.00184,0.3567981435707343
0.00186,0.3635511609892421
0.0018800000000000002,0.3703974144097235
0.0019000000000000002,0.3773379063698342
0.0019200000000000003,0.3843736394072299
0.00194,0.391505616059566
0.0019600000000000004,0.3987348388644985
0.00198,0.40606231035968254
0.002,0.4134890330827743
0.00202,0.42101600957142904
0.00204,0.42864424236330256
0.00206,0.4363747339960504
0.0020800000000000003,0.4442084870073282
0.0021000000000000003,0.45214650393479167
0.0021200000000000004,0.4601897873160964
0.00214,0.4683393396888976
0.00216,0.4765961635908518
0.00218,0.48496126155961394
0.0022,0.49343563613283986
0.00222,0.5020202898481851
0.0022400000000000002,0.5107162252433056
0.0022600000000000003,0.5195244448558566
0.0022800000000000003,0.5284459512234939
0.0023000000000000004,0.5374817468838732
0.00232,0.5466328343746497
0.00234,0.5559002162334796
0.00236,0.5652848949980185
0.00238,0.5747878732059216
0.0024000000000000002,0.5844101533948449
0.0024200000000000003,0.594152738102444
0.0024400000000000003,0.6040166298663743
0.0024600000000000004,0.6140028312242916
0.00248,0.6241123447138511
0.0025,0.6343461728727093
0.00252,0.6447053182385214
0.00254,0.6551907833489428
0.00256,0.6658035707416293
0.0025800000000000003,0.6765446829542368
0.0026000000000000003,0.6874151225244204
0.0026200000000000004,0.6984158919898361
0.0026400000000000004,0.7095479938881395
0.00266,0.7208124307569859
0.00268,0.7322102051340313
0.0027,0.7437423195569315
0.00272,0.7554097765633417
0.0027400000000000002,0.7672135786909178
0.0027600000000000003,0.7791547284773153
0.0027800000000000004,0.7912342284601898
0.0028000000000000004,0.8034530811771969
0.00282,0.8158122891659922
0.00284,0.8283128549642318
0.00286,0.8409557811095708
0.00288,0.8537420701396651
0.0029000000000000002,0.8666727245921702
0.0029200000000000003,0.8797487470047418
