k_bar_ratio,vmt2_snap_force_N,C_v_peak_m_per_s,C_interval_s,C_order,events_fired
0.3,0.5817819593703618,8.566420063654732,0.003256,"(1, 0)",2
0.5,0.934377750458977,7.290269990302281,0.0031800000000000005,"(1, 0)",2
0.7,1.2622296417914578,8.618674417101337,0.0033679999999999995,"(1, 0)",2
1.0,1.713025377145777,10.239218582063234,0.004204000000000001,"(1, 0)",2
1.5,2.3718806482947103,10.111008257105937,0.0030079999999999985,"(0, 1)",2
2.0,2.936615889012984,10.74627508040925,0.0026119999999999997,"(0, 1)",2
3.0,3.854307184845187,12.908911018868588,0.0023160000000000004,"(0, 1)",2
