k_base_N_per_m,vmt_snap_force_N,B_v_peak_m_per_s,C_v_peak_m_per_s,C_interval_s,C_order
200.0,0.1868755573139735,3.0745090638219605,3.2798052851611206,0.0003039999999999987,"(1, 0)"
500.0,0.411126094706803,4.52348760510839,4.9715179470670945,0.0010879999999999987,"(1, 0)"
1000.0,0.6852102261242659,5.820733328181687,6.849299636275895,0.0002999999999999999,"(1, 0)"
2000.0,1.0278155525136545,7.346586016991399,9.238600847168598,0.0011879999999999998,"(1, 0)"
5000.0,1.468307944506492,8.720961525893628,9.697084425174168,0.004299999999999998,"(1, 0)"
10000.0,1.713025377145777,9.357059351320727,10.239218582063234,0.004204000000000001,"(1, 0)"
30000.0,1.9271541026850367,9.863743695375744,10.708129768938514,0.004255999999999999,"(1, 0)"
100000.0,2.0153245875717998,10.06036794818505,10.8839730929112,0.004363999999999998,"(1, 0)"
