t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
3.2e-05,2.6186037889565123e-12,5.191262953010927e-16,4.5080182531716884e-20,3.2736616757614394e-07,9.161448398953532e-11,9.794553449293951e-15
3.4e-05,3.337116221605094e-12,7.302564608615249e-16,6.848126302090144e-20,3.9262764487730153e-07,1.206848521311445e-10,1.3815491022904482e-14
3.6e-05,4.19420148264084e-12,1.0060778668787556e-15,1.0111742033003217e-19,4.6602849681041116e-07,1.5649882774893098e-10,1.907849436696754e-14
3.7999999999999995e-05,5.2066155968397405e-12,1.3611399386421936e-15,1.4574627479619163e-19,5.480459612870195e-07,2.0013821370516342e-10,2.5864946662884535e-14
3.9999999999999996e-05,6.39206886274914e-12,1.812261714849704e-15,2.057316120054678e-19,6.39157073257762e-07,2.527917289245932e-10,3.45004150211523e-14
4.2e-05,7.769225441918093e-12,2.378750523250474e-15,2.851359971002545e-19,7.398386598652043e-07,3.157598512053355e-10,4.5358932655907644e-14
4.4e-05,9.357702938437014e-12,3.0826303380892642e-15,3.8882214391855485e-19,8.505673356003364e-07,3.9045965618403246e-10,5.886747151047273e-14
4.6e-05,1.1178071968794068e-11,3.9488798115543286e-15,5.225634196955088e-19,9.718194974628153e-07,4.784296523591081e-10,7.55106051613355e-14
4.8e-05,1.325185572205585e-11,5.0056799712524766e-15,6.931638657085088e-19,1.1040713201250524e-06,5.813346120753396e-10,9.583536182432516e-14
4.9999999999999996e-05,1.5601529510380193e-11,6.284671575524136e-15,9.085881138906086e-19,1.247798751100258e-06,7.009703983592654e-10,1.2045626728244497e-13
5.2e-05,1.825052030986908e-11,7.821222118216994e-15,1.1781015790714974e-18,1.4034775059145203e-06,8.392687875276528e-10,1.5006057755070356e-13
5.4e-05,2.122320629176984e-11,9.65470247435475e-15,1.5124213061326597e-18,1.5715830632830333e-06,9.983022874517934e-10,1.8541370108969452e-13
5.6e-05,2.4544916344033016e-11,1.182877317792159e-14,1.923877850982086e-18,1.7525906602905647e-06,1.1802889513938532e-09,2.27364810375113e-13
5.8e-05,2.824192958323552e-11,1.439168032280571e-14,2.4265885738647976e-18,1.946975287576262e-06,1.387597187309183e-09,2.7685264262680615e-13
5.9999999999999995e-05,3.234147485687775e-11,1.7396561077734834e-14,3.036642723128281e-18,2.155211684522897e-06,1.6227505625176144e-09,3.349114894966317e-13
6.2e-05,3.687173023606382e-11,2.090175880584509e-14,3.772298687156516e-18,2.37777433445065e-06,1.888432603648347e-09,4.026773755104337e-13
6.4e-05,4.186182249857387e-11,2.497114777933286e-14,4.654193791772933e-18,2.6151374598155184e-06,2.1874915917615863e-09,4.813944250555095e-13
6.599999999999999e-05,4.734182660233793e-11,2.967446747945337e-14,5.7055670199915124e-18,2.867775017412463e-06,2.522945352547978e-09,5.724214177010709e-13
6.8e-05,5.3342765149320983e-11,3.508766647190439e-14,6.952495030565921e-18,3.1361606935833768e-06,2.8979860415052396e-09,6.772385316347499e-13
7e-05,5.989660783982872e-11,4.1293255847471265e-14,8.424141851348868e-18,3.420767899429991e-06,3.3159849240002504e-09,7.974542749945819e-13
7.2e-05,6.703627091724419e-11,4.8380672217605896e-14,1.0153022623028794e-17,3.722069766031785e-06,3.780497150121186e-09,9.348126048719135e-13
7.4e-05,7.479561660320543e-11,5.644665025440555e-14,1.2175281768357854e-17,4.040539139669038e-06,4.2952665242102095e-09,1.0912002337564536e-12
7.599999999999999e-05,8.320945252323427e-11,6.559560476427481e-14,1.4530985961523394e-17,4.376648577051082e-06,4.864230268993004e-09,1.2686541231907559e-12
7.8e-05,9.231353112282703e-11,7.594002228436166e-14,1.726443227184598e-17,4.730870340549874e-06,5.491523784209173e-09,1.4693691643976058e-12
7.999999999999999e-05,1.0214454907401777e-10,8.760086219066277e-14,2.0424471855510193e-17,5.103676393438982e-06,6.18148539962915e-09,1.6957060456397785e-12
8.2e-05,1.1274014667242487e-10,1.0070796730649642e-13,2.406484956854863e-17,5.495538395138081e-06,6.938661122385642e-09,1.9501993060674384e-12
