base_pos_m,x0_m,x1_m,input_force_N
0.0,-2.373840468876094e-14,0.0,-2.168404344971009e-19
1.3344453711426188e-05,1.3344453687687783e-05,0.0,1.0842021724855044e-19
2.6688907422852376e-05,2.668890739911397e-05,0.0,2.168404344971009e-18
4.003336113427856e-05,4.003336111054016e-05,0.0,-1.6263032587282567e-18
5.337781484570475e-05,5.337781482196635e-05,0.0,-1.6263032587282567e-18
6.672226855713094e-05,6.672226853339253e-05,0.0,-1.6263032587282567e-18
8.006672226855713e-05,8.006672224481872e-05,0.0,-1.6263032587282567e-18
9.341117597998332e-05,9.341117595624491e-05,0.0,-1.6263032587282567e-18
0.0001067556296914095,0.0001067556296676711,0.0,-1.6263032587282567e-18
0.0001201000834028357,0.00012010008337909729,0.0,-1.6263032587282567e-18
0.00013344453711426187,0.00013344453709052346,0.0,1.5395670849294163e-17
0.00014678899082568806,0.00014678899080194965,0.0,1.5395670849294163e-17
0.00016013344453711425,0.00016013344451337584,0.0,1.5395670849294163e-17
0.00017347789824854044,0.00017347789822480203,0.0,1.5395670849294163e-17
0.00018682235195996663,0.00018682235193622821,0.0,1.5395670849294163e-17
0.00020016680567139282,0.0002001668056476544,0.0,1.5395670849294163e-17
0.000213511259382819,0.0002135112593590806,0.0,1.5395670849294163e-17
0.0002268557130942452,0.00022685571307050678,0.0,1.5395670849294163e-17
0.0002402001668056714,0.00024020016678193297,0.0,1.5395670849294163e-17
0.0002535446205170976,0.0002535446204933592,0.0,-1.9081958235744878e-17
0.00026688907422852374,0.00026688907420478535,0.0,-1.9081958235744878e-17
0.00028023352793994996,0.00028023352791621157,0.0,-1.9081958235744878e-17
0.0002935779816513761,0.00029357798162763773,0.0,-1.9081958235744878e-17
0.00030692243536280234,0.00030692243533906395,0.0,-1.9081958235744878e-17
0.0003202668890742285,0.0003202668890504901,0.0,-1.9081958235744878e-17
0.0003336113427856547,0.00033361134276191633,0.0,-1.9081958235744878e-17
0.0003469557964970809,0.0003469557964733425,0.0,-1.9081958235744878e-17
0.0003603002502085071,0.0003603002501847687,0.0,-1.9081958235744878e-17
0.00037364470391993326,0.0003736447038961949,0.0,-1.9081958235744878e-17
0.0003869891576313595,0.0003869891576076211,0.0,-1.9081958235744878e-17
0.00040033361134278564,0.00040033361131904725,0.0,-1.9081958235744878e-17
0.00041367806505421186,0.00041367806503047347,0.0,-1.9081958235744878e-17
0.000427022518765638,0.00042702251874189963,0.0,-1.9081958235744878e-17
0.0004403669724770642,0.0004403669724533258,0.0,-1.9081958235744878e-17
0.0004537114261884904,0.000453711426164752,0.0,-1.9081958235744878e-17
0.00046705587989991657,0.0004670558798761782,0.0,-1.9081958235744878e-17
0.0004804003336113428,0.0004804003335876044,0.0,-1.9081958235744878e-17
0.000493744787322769,0.0004937447872990306,0.0,-1.9081958235744878e-17
0.0005070892410341952,0.0005070892410104568,0.0,-1.9081958235744878e-17
0.0005204336947456213,0.0005204336947218829,0.0,-1.9081958235744878e-17
0.0005337781484570475,0.0005337781484333091,0.0,-1.9081958235744878e-17
0.0005471226021684738,0.0005471226021447354,0.0,-1.9081958235744878e-17
0.0005604670558798999,0.0005604670558561615,0.0,-1.9081958235744878e-17
0.0005738115095913261,0.0005738115095675877,0.0,-1.9081958235744878e-17
0.0005871559633027522,0.0005871559632790139,0.0,-1.9081958235744878e-17
0.0006005004170141785,0.0006004599364921195,4.194559700609852e-07,5.1676856209967575e-05
0.0006138448707256047,0.0006127247051672194,1.1604539608834005e-05,0.0014297085760818836
0.0006271893244370308,0.0006249890001469112,2.278867585679168e-05,0.0028078054822003816
0.000640533778148457,0.000637252705715718,3.397163328297915e-05,0.004186114291689687
0.0006538782318598832,0.0006495157062859325,4.515318071198212e-05,0.005564781612780234
0.0006672226855713094,0.0006617778861142483,5.633308665718712e-05,0.006943953838741133
0.0006805671392827356,0.0006740391293659157,6.751111944909589e-05,0.00832377712743741
0.0006939115929941618,0.0006862993202161273,7.868704743809291e-05,0.009704397390128633
0.0007072560467055879,0.0006985583428977701,8.986063908995238e-05,0.011085960267139941
0.0007206005004170142,0.0007108160818895143,0.00010103166336201453,0.012468611138418408
0.0007339449541284404,0.0007230724215872633,0.00011219988904608637,0.013852495006388571
0.0007472894078398665,0.0007353272464404911,0.00012336508504111573,0.015237756493764035
0.0007606338615512927,0.0007475804410247916,0.00013452702049829068,0.016624539825814893
0.000773978315262719,0.0007598318901155635,0.00014568546496840799,0.018012988813178928
0.0007873227689741451,0.0007720814788254558,0.0001568401886767665,0.019403246850898594
0.0008006672226855713,0.0007843290922717774,0.0001679909618579837,0.0207954568005211
0.0008140116763969974,0.0007965746157649041,0.00017913755513281084,0.022189761001938743
0.0008273561301084237,0.0008088179348548845,0.00019027973960134521,0.023586301250318353
0.0008407005838198499,0.0008210589354498694,0.0002014172870798889,0.024985218791425796
0.000854045037531276,0.0008332975038401388,0.0002125499701490015,0.02638665429377356
0.0008673894912427022,0.0008455335264351824,0.00022367756162766276,0.027790747748619764
0.0008807339449541284,0.0008577668899666485,0.00023479983497916868,0.02919763848724962
0.0008940783986655546,0.0008699974815160029,0.00024591656436645135,0.030607465154718027
0.0009074228523769808,0.0008822251887046825,0.00025702752503238416,0.03202036572535454
0.000920767306088407,0.000894449899505986,0.0002681324929235652,0.033436477422771664
0.0009341117597998331,0.0009066715021767466,0.00027923124455366026,0.03485593667006805
0.0009474562135112594,0.0009188898854063335,0.00029032355730140765,0.03627887909584265
0.0009608006672226856,0.0009311049383606967,0.0003014092094987078,0.037705439514148814
0.0009741451209341117,0.0009433165508821401,0.0003124879808301684,0.03913575194528344
0.000987489574645538,0.0009555246131368642,0.0003235596516281904,0.040569949494677286
0.001000834028356964,0.0009677290157467656,0.00033462400313656734,0.04200816435642174
0.0010141784820683903,0.0009799296498645492,0.0003456808176607078,0.0434505278030176
0.0010275229357798166,0.0009921264072884346,0.0003567298787970527,0.044897170186310044
0.0010408673894912427,0.0010043191805016707,0.00036777097151209886,0.04634822091970104
0.001054211843202669,0.0010165078623714378,0.0003788038815402067,0.04780380837100852
0.001067556296914095,0.001028692346361249,0.00038982839580840303,0.04926405989017635
0.0010809007506255212,0.0010408725265650788,0.00040084430250463633,0.0507291017911984
0.0010942452043369475,0.0010530482979271359,0.00041185139151732407,0.05219905938439352
