damping_Ns_per_m,B_v_peak_m_per_s,tail_rms_ratio
0.0001,9.23604977873343,0.5965677497922067
0.001,9.208382225057756,0.5967027059947376
0.01,8.939055651583146,0.5961163415919056
0.05,7.8745743568952244,0.6058322693790441
0.1,6.779949168006915,0.5721152050650862
0.3,3.927705055643966,0.2384123879986137
1.0,0.8548128832133021,0.03159160828521339
