stiffness_scale,k1_N_per_m,k3_N_per_m3,B_v_peak_m_per_s,B_interval_s
0.01,1.231997119054821,208862.01158976264,8.633884617699955,nan
0.03,3.695991357164463,626586.0347692878,7.172615841721908,nan
0.1,12.319971190548207,2088620.1158976262,7.003091834746188,nan
0.3,36.95991357164462,6265860.347692878,8.741414490051305,nan
1.0,123.19971190548209,20886201.15897626,8.939055651583146,nan
3.0,369.59913571644626,62658603.476928785,9.048224405992793,nan
10.0,1231.9971190548208,208862011.5897626,8.766569731951941,nan
30.0,3695.9913571644624,626586034.7692877,6.865491479778925,nan
100.0,12319.971190548207,2088620115.8976257,3.2963801575498546,nan
