t_s,x0_m,x1_m,v0_m_per_s,v1_m_per_s
0.004926,0.0006782491906979867,0.0005308077960646824,0.48782320859230277,0.414449938236912
0.004928,0.0006792253183844206,0.00053163713454485,0.488304511623475,0.4148885837095697
0.0049299999999999995,0.0006802024088570476,0.0005324673505386862,0.4887859947617634,0.41532745184688274
0.004932,0.0006811804624759556,0.0005332984444912074,0.48926765788078314,0.41576654233571014
0.004934,0.0006821594796009801,0.0005341304168468023,0.4897495008545267,0.4162058548613518
0.004935999999999999,0.0006831394605917046,0.0005349632680492284,0.49023152355736205,0.4166453891075466
0.004938,0.0006841204058074618,0.0005357969985416092,0.49071372586403045,0.41708514475647346
0.00494,0.0006851023156073349,0.0005366316087664312,0.4911961076496446,0.41752512148874976
0.004941999999999999,0.000686085190350157,0.0005374670991655406,0.49167866878968663,0.41796531898343137
0.004944,0.0006870690303945126,0.0005383034701801399,0.4921614091600063,0.4184057369180121
0.004946,0.0006880538360987385,0.000539140722250785,0.4926443286368184,0.4188463749684234
0.004948,0.0006890396078209241,0.0005399788558173824,0.4931274270967012,0.41928723280903407
0.0049499999999999995,0.0006900263459189127,0.0005408178713191856,0.4936107044165944,0.41972831011264966
0.004952,0.0006910140507503013,0.000541657769194792,0.49409416047379634,0.42016960655051216
0.004954,0.0006920027226724421,0.0005424985498821401,0.4945777951459629,0.4206111217923
0.0049559999999999995,0.000692992362042443,0.0005433402138185062,0.4950616083111047,0.4210528555061271
0.004958,0.0006939829692171685,0.0005441827614405013,0.49554559984758506,0.42149480735854294
0.00496,0.0006949745445532397,0.0005450261931840677,0.4960297696341178,0.4219369770145324
0.004961999999999999,0.0006959670884070357,0.0005458705094844764,0.4965141175497638,0.4223793641375165
0.004964,0.0006969606011346942,0.0005467157107763235,0.4969986434739139,0.4228219683893671
0.004966,0.0006979550830921115,0.0005475617974935272,0.49748334728629123,0.4232647894304015
0.004968,0.0006989505346349444,0.000548408770069325,0.49796822886696085,0.4237078269193713
0.00497,0.0006999469561186098,0.0005492566289362704,0.498453288096327,0.42415108051346223
0.004972,0.0007009443478982855,0.0005501053745262294,0.49893852485513107,0.4245945498682932
0.004974,0.0007019427103289118,0.0005509550072703779,0.49942393902444937,0.425038234637917
0.0049759999999999995,0.0007029420437651908,0.0005518055275991981,0.49990953048569076,0.42548213447481953
0.004978,0.0007039423485615882,0.0005526569359424761,0.5003952991205944,0.42592624902991955
0.00498,0.0007049436250723331,0.0005535092327292976,0.5008812448112273,0.42637057795256894
0.0049819999999999994,0.0007059458736514194,0.000554362418388046,0.5013673674399819,0.426815120890552
0.004984,0.0007069490946526061,0.0005552164933463983,0.5018536668895739,0.42725987749008576
0.004986,0.0007079532884294177,0.0005560714580313227,0.5023401430430399,0.4277048473958196
0.004987999999999999,0.0007089584553351453,0.0005569273128690749,0.5028267957837342,0.428150030250835
0.00499,0.0007099645957228469,0.0005577840582851952,0.5033136249953283,0.4285954256966457
0.004992,0.0007109717099453484,0.0005586416947045056,0.5038006305618056,0.42904103337319743
0.004994,0.0007119797983552437,0.0005595002225511061,0.5042878123674617,0.4294868529188676
0.004996,0.0007129888613048956,0.0005603596422483723,0.5047751702969002,0.429932883970466
0.004998,0.0007139988991464366,0.0005612199542189513,0.5052627042350307,0.4303791261632337
0.005,0.0007150099122317695,0.0005620811588847595,0.5057504140670661,0.43082557913084363
0.0050019999999999995,0.0007160219009125672,0.0005629432566669789,0.5062382996785207,0.4312722425054004
0.005004,0.0007170348655402743,0.0005638062479860545,0.5067263609552068,0.4317191159174402
0.005006,0.0007180488064661075,0.0005646701332616903,0.5072145977832329,0.4321661989959309
0.005007999999999999,0.0007190637240410558,0.000565534912912847,0.5077030100490004,0.4326134913682718
0.00501,0.0007200796186158814,0.0005664005873577383,0.5081915976392015,0.433060992660294
0.005012,0.0007210964905411198,0.000567267157013828,0.5086803604408163,0.43350870249626
0.005013999999999999,0.0007221143401670814,0.0005681346222978274,0.5091692983411104,0.433956620498864
0.005016,0.0007231331678438507,0.0005690029836256909,0.5096584112276318,0.4344047462892319
0.005018,0.0007241529739212881,0.000569872241412614,0.5101476989882088,0.43485307948692137
0.00502,0.0007251737587490298,0.0005707423960730295,0.5106371615109471,0.43530161970992165
0.0050219999999999996,0.0007261955226764885,0.0005716134480206048,0.5111267986842271,0.43575036657465394
0.005024,0.0007272182660528536,0.0005724853976682385,0.5116166103967009,0.4361993196959714
0.005026,0.0007282419892270927,0.0005733582454280575,0.5121065965372898,0.4366484786871591
0.0050279999999999995,0.0007292666925479511,0.0005742319917114133,0.5125967569951811,0.4370978431599343
0.00503,0.0007302923763639527,0.0005751066369288796,0.5130870916598268,0.4375474127244463
0.005032,0.0007313190410234007,0.0005759821814902487,0.5135776004209375,0.4379971869892781
0.005033999999999999,0.0007323466868743779,0.0005768586258045287,0.5140682831684668,0.43844716556146063
0.005036,0.0007333753142647474,0.0005777359702799401,0.5145591397926103,0.4388973480464705
0.005038,0.0007344049235421527,0.0005786142153239126,0.5150501701838149,0.4393477340482174
0.005039999999999999,0.0007354355150540187,0.0005794933613430825,0.5155413742327775,0.43979832316904444
0.005042,0.0007364670891475518,0.0005803734087432888,0.5160327518304416,0.4402491150097277
0.005044,0.0007374996461697405,0.0005812543579295708,0.516524302867994,0.44070010916947666
0.005046,0.000738533186467356,0.0005821362093061647,0.5170160272368625,0.44115130524593443
0.0050479999999999995,0.0007395677103869524,0.0005830189632765002,0.5175079248287129,0.44160270283517816
0.00505,0.0007406032182748676,0.0005839026202431975,0.5179999955354456,0.442054301531719
0.005052,0.0007416397104772236,0.0005847871806080647,0.518492239249193,0.44250610092850234
0.0050539999999999995,0.0007426771873399266,0.0005856726447720939,0.5189846558623163,0.4429581006169083
0.005056,0.0007437156492086679,0.0005865590131354583,0.5194772452674035,0.44341030018675176
0.005058,0.0007447550964289241,0.0005874462860975093,0.5199700073572642,0.44386269922628274
0.005059999999999999,0.0007457955293459581,0.0005883344640567736,0.5204629420249295,0.4443152973221866
0.005062,0.0007468369483048183,0.0005892235474109491,0.5209560491636457,0.4447680940595846
0.005064,0.0007478793536503405,0.0005901135365569027,0.5214493286668743,0.44522108902203367
0.005066,0.0007489227457271472,0.0005910044318906667,0.521942780428287,0.4456742817915275
0.005068,0.0007499671248796487,0.0005918962338074359,0.5224364043417633,0.4461276719484962
0.00507,0.000751012491452043,0.0005927889427015646,0.5229302003013875,0.44658125907180685
0.005072,0.000752058845788317,0.0005936825589665629,0.5234241682014447,0.4470350427387639
0.0050739999999999995,0.0007531061882322457,0.0005945770829950943,0.5239183079364188,0.4474890225251095
0.005076,0.0007541545191273937,0.000595472515178972,0.5244126194009888,0.44794319800502397
0.005078,0.0007552038388171149,0.0005963688559091558,0.5249071024900257,0.44839756875112613
0.0050799999999999994,0.0007562541476445535,0.0005972661055757498,0.525401757098589,0.44885213433447335
0.005082,0.0007573054459526435,0.0005981642645679979,0.5258965831219247,0.44930689432456244
0.005084,0.0007583577340841101,0.0005990633332742821,0.52639158045546,0.4497618482893299
0.005085999999999999,0.000759411012381469,0.0005999633120821183,0.526886748994802,0.4502169957951526
0.005088,0.0007604652811870278,0.0006008642013781538,0.5273820886357337,0.4506723364068474
0.00509,0.0007615205408428854,0.0006017660015481639,0.5278775992742103,0.45112786968767243
0.005092,0.000762576791690933,0.0006026687129770489,0.5283732808063569,0.45158359519932745
0.005094,0.0007636340340728544,0.0006035723360488307,0.5288691331284643,0.45203951250195346
0.005096,0.0007646922683301257,0.0006044768711466502,0.5293651561369863,0.45249562115413444
0.005098,0.0007657514948040165,0.000605382318652764,0.5298613497285359,0.4529519207128971
0.0050999999999999995,0.0007668117138355897,0.0006062886789485407,0.5303577137998824,0.4534084107337113
0.005102,0.0007678729257657015,0.0006071959524144589,0.5308542482479397,0.45386509077049875
0.005104,0.0007689351309350024,0.000608104139430103,0.5313509529697512,0.4543219603756451
0.005105999999999999,0.0007699983296839373,0.000609013240374161,0.5318478278625027,0.4547790190999846
0.005108,0.0007710625223527451,0.0006099232556244208,0.5323448728235225,0.45523626649279664
0.00511,0.0007721277092814599,0.0006108341855577673,0.5328420877502782,0.45569370210180654
0.005111999999999999,0.0007731938908099108,0.0006117460305501794,0.533339472540373,0.45615132547318643
0.005114,0.0007742610672777222,0.0006126587909767269,0.5338370270915423,0.45660913615155574
0.005116,0.000775329239024314,0.0006135724672115671,0.5343347513016506,0.4570671336799811
0.005118,0.0007763984063889019,0.0006144870596279417,0.5348326450686869,0.45752531759997767
0.0051199999999999996,0.000777468569710498,0.0006154025685981743,0.5353307082907627,0.45798368745150947
0.005122,0.0007785397293279106,0.0006163189944936666,0.5358289408661076,0.45844224277299017
0.005124,0.0007796118855797448,0.0006172363376848956,0.5363273426930654,0.45890098310128336
0.0051259999999999995,0.0007806850388044018,0.0006181545985414107,0.5368259136700921,0.4593599079717034
0.005128,0.0007817591893400805,0.0006190737774318299,0.537324653695751,0.45981901691801574
0.00513,0.000782834337524777,0.0006199938747238377,0.5378235626687092,0.4602783094724382
0.005131999999999999,0.0007839104836962843,0.0006209148907841814,0.5383226404877348,0.46073778516564096
0.005134,0.0007849876281921935,0.0006218368259786679,0.5388218870516924,0.46119744352674763
0.005136,0.0007860657713498934,0.0006227596806721606,0.5393213022595397,0.4616572840833357
0.005137999999999999,0.000787144913506571,0.0006236834552285771,0.5398208860103251,0.46211730636143716
0.00514,0.0007882250549992111,0.0006246081500108852,0.5403206382031817,0.4625775098855396
0.005142,0.000789306196164597,0.0006255337653811,0.5408205587373262,0.4630378941785863
0.005144,0.0007903883373393106,0.0006264603017002811,0.5413206475120534,0.4634984587619774
0.0051459999999999995,0.0007914714788597327,0.0006273877593285294,0.5418209044267337,0.4639592031555705
0.005148,0.0007925556210620423,0.0006283161386249839,0.542321329380808,0.4644201268776812
0.00515,0.0007936407642822178,0.0006292454399478185,0.5428219222737853,0.46488122944508403
0.0051519999999999995,0.0007947269088560366,0.0006301756636542394,0.5433226830052388,0.46534251037301333
0.005154,0.0007958140551190752,0.0006311068101004818,0.543823611474801,0.46580396917516337
0.005156,0.0007969022034067095,0.0006320388796418066,0.5443247075821618,0.46626560536368983
0.005157999999999999,0.0007979913540541149,0.0006329718726324972,0.544825971227063,0.46672741844921
0.00516,0.0007990815073962662,0.0006339057894258572,0.5453274023092958,0.4671894079408043
0.005162,0.0008001726637679379,0.0006348406303742064,0.5458290007286966,0.467651573346016
0.005164,0.0008012648235037042,0.0006357763958288785,0.5463307663851421,0.4681139141708528
0.005166,0.0008023579869379391,0.0006367130861402175,0.5468326991785473,0.4685764299197875
0.005168,0.0008034521544048164,0.0006376507016575746,0.5473347990088603,0.4690391200957588
0.00517,0.00080454732623831,0.0006385892427293058,0.5478370657760474,0.46950198420018396
0.0051719999999999995,0.0008056435027721937,0.0006395287097027682,0.5483394993800816,0.46996502173296556
0.005174,0.0008067406843400408,0.0006404691029243171,0.5488420997209567,0.4704282321924765
0.005176,0.0008078388712752254,0.000641410422739303,0.549344866698684,0.47089161507555866
0.0051779999999999994,0.0008089380639109211,0.0006423526694920687,0.54984780021329,0.47135516987752396
0.00518,0.0008100382625801017,0.000643295843525946,0.5503509001648104,0.4718188960921553
0.005182,0.0008111394676155409,0.000644239945183253,0.5508541664532877,0.47228279321170746
0.005183999999999999,0.0008122416793498128,0.0006451849748052902,0.5513575989787666,0.4727468607269073
0.005186,0.0008133448981152915,0.0006461309327323387,0.5518611976412902,0.4732110981269555
0.005188,0.0008144491242441511,0.000647077819303656,0.552364962340896,0.4736755048995271
0.00519,0.0008155543580683657,0.0006480256348574734,0.5528688929776127,0.47414008053077233
0.005192,0.0008166605999197096,0.0006489743797309935,0.5533729894514539,0.47460482450531755
0.005194,0.0008177678501297572,0.0006499240542603862,0.5538772516624169,0.47506973630626637
0.005196,0.0008188761090298826,0.0006508746587807862,0.554381679510477,0.47553481541520004
0.0051979999999999995,0.0008199853769512599,0.0006518261936262896,0.5548862728955839,0.4760000613121791
0.0052,0.0008210956542248631,0.0006527786591299515,0.5553910317176578,0.47646547347574364
0.005202,0.0008222069411814661,0.0006537320556237823,0.5558959558765849,0.4769310513829147
0.005203999999999999,0.0008233192381516424,0.0006546863834387451,0.5564010452722137,0.47739679450919487
0.005206,0.0008244325454657654,0.0006556416429047523,0.5569062998043505,0.47786270232856964
0.005208,0.0008255468634540076,0.000656597834350663,0.5574117193727565,0.47832877431350784
0.005209999999999999,0.0008266621924463414,0.0006575549581042794,0.5579173038771418,0.47879500993496316
0.005212,0.0008277785327725384,0.0006585130144923442,0.5584230532171627,0.4792614086623746
0.005214,0.0008288958847621695,0.0006594720038405375,0.5589289672924173,0.47972796996366796
0.005216,0.0008300142487446048,0.0006604319264734741,0.5594350460024408,0.4801946933052566
0.0052179999999999995,0.0008311336250490132,0.0006613927827146995,0.5599412892467018,0.48066157815204236
0.00522,0.0008322540140043625,0.0006623545728866877,0.5604476969245981,0.4811286239674164
0.005222,0.0008333754159394196,0.0006633172973108383,0.5609542689354525,0.4815958302132608
0.0052239999999999995,0.0008344978311827495,0.0006642809563074727,0.5614610051785082,0.48206319634994915
0.005226,0.0008356212600627158,0.0006652455501958318,0.5619679055529259,0.4825307218363474
0.005228,0.0008367457029074802,0.0006662110792940726,0.5624749699577772,0.4829984061298153
0.005229999999999999,0.0008378711600450027,0.0006671775439192654,0.5629821982920425,0.48346624868620713
0.005232,0.000838997631803041,0.0006681449443873907,0.5634895904546063,0.4839342489598731
0.005234,0.0008401251185091505,0.0006691132810133363,0.5639971463442524,0.48440240640365995
0.005235999999999999,0.0008412536204906841,0.0006700825541108939,0.5645048658596526,0.4848707204689194
0.005238,0.000842383138074792,0.0006710527639927566,0.5650127488993486,0.4853391906055231
0.00524,0.0008435136715884209,0.0006720239109705159,0.5655207953617637,0.48580781626184744
0.005242,0.0008446452213583147,0.0006729959953546583,0.5660290051452035,0.48627659688476976
0.0052439999999999995,0.0008457777877110136,0.0006739690174545627,0.5665373781478523,0.48674553191966957
0.005246,0.0008469113709728544,0.000674942977578497,0.5670459142677672,0.4872146208104298
0.005248,0.0008480459714699692,0.0006759178760336157,0.5675546134028752,0.48768386299943745
0.0052499999999999995,0.0008491815895282865,0.0006768937131259567,0.5680634754509686,0.4881532579275851
0.005252,0.0008503182254735298,0.0006778704891604378,0.5685725003096994,0.4886228050342717
0.005254,0.0008514558796312179,0.000678848204440854,0.569081687876577,0.48909250375740404
0.005255999999999999,0.0008525945523266645,0.0006798268592698753,0.5695910380489616,0.48956235353339755
0.005258,0.0008537342438849778,0.0006808064539490426,0.5701005507240616,0.49003235379717774
0.00526,0.0008548749546310605,0.0006817869887787648,0.5706102257989284,0.49050250398218087
0.005262,0.0008560166848896089,0.0006827684640583169,0.5711200631704514,0.49097280352035566
0.005264,0.0008571594349851132,0.0006837508800858359,0.5716300627353549,0.4914432518421638
0.005266,0.0008583032052418565,0.0006847342371583185,0.572140224390193,0.4919138483765817
0.005268,0.0008594479959839154,0.0006857185355716174,0.5726505480313449,0.49238459255110123
0.0052699999999999995,0.0008605938075351585,0.0006867037756204394,0.5731610335550104,0.492855483791731
0.005272,0.000861740640219247,0.0006876899575983412,0.5736716808572059,0.4933265215229975
0.005274,0.0008628884943596339,0.0006886770817977276,0.57418248983376,0.49379770516794647
0.0052759999999999994,0.0008640373702795634,0.0006896651485098477,0.5746934603803083,0.4942690341481437
0.005278,0.0008651872683020711,0.0006906541580247923,0.5752045923922893,0.4947405078836767
0.00528,0.000866338188749983,0.0006916441106314911,0.5757158857649401,0.4952121257931554
0.005281999999999999,0.0008674901319459156,0.0006926350066177093,0.5762273403932918,0.4956838872937136
0.005284,0.0008686430982122751,0.0006936268462700452,0.5767389561721641,0.49615579180100994
0.005286,0.0008697970878712574,0.0006946196298739265,0.5772507329961624,0.49662783872922933
0.005288,0.0008709521012448471,0.0006956133577136082,0.5777626707596714,0.4971000274910844
0.0052899999999999996,0.0008721081386548174,0.0006966080300721689,0.5782747693568518,0.49757235749781603
0.005292,0.0008732652004227293,0.0006976036472315086,0.5787870286816358,0.4980448281591948
0.005294,0.0008744232868699321,0.000698600209472345,0.5792994486277212,0.49851743888352296
0.0052959999999999995,0.0008755823983175621,0.0006995977170742113,0.5798120290885683,0.49899018907763465
0.005298,0.0008767425350865415,0.0007005961703154525,0.5803247699573942,0.49946307814689744
0.0053,0.0008779036974975797,0.0007015955694732233,0.5808376711271689,0.499936105495214
0.005301999999999999,0.0008790658858711713,0.0007025959148234844,0.5813507324905967,0.5004092705250363
0.005304,0.0008802291005275959,0.0007035972066410001,0.5818639539401058,0.5008825726373719
0.005306,0.0008813933417869182,0.0007045994451993352,0.5823773353678626,0.5013560112317687
0.005307999999999999,0.0008825586099689863,0.0007056026307708523,0.5828908766657668,0.501829585706314
0.00531,0.0008837249053934323,0.0007066067636267086,0.5834045777254472,0.5023032954576369
0.005312,0.0008848922283796713,0.0007076118440368528,0.5839184384382579,0.5027771398809078
0.005314,0.0008860605792469004,0.0007086178722700232,0.5844324586952726,0.5032511183698415
0.0053159999999999995,0.0008872299583140991,0.0007096248485937435,0.5849466383872799,0.5037252303166972
0.005318,0.0008884003659000279,0.0007106327732743205,0.5854609774047796,0.5041994751122806
0.00532,0.0008895718023232278,0.0007116416465768415,0.5859754756379771,0.5046738521459438
0.0053219999999999995,0.0008907442679020207,0.0007126514687651706,0.5864901329767789,0.5051483608055884
0.005324,0.0008919177629545072,0.0007136622401019466,0.5870049493107878,0.5056230004776658
0.005326,0.0008930922877985668,0.0007146739608485796,0.5875199245292989,0.5060977705471787
0.005327999999999999,0.0008942678427518578,0.0007156866312652484,0.5880350585212928,0.5065726703976817
0.00533,0.0008954444281318159,0.0007167002516108974,0.5885503511754336,0.5070476994112841
0.005332,0.0008966220442556536,0.0007177148221432335,0.589065802380062,0.5075228569686495
0.005333999999999999,0.0008978006914403603,0.0007187303431187239,0.5895814120231919,0.5079981424489982
0.005336,0.0008989803700027003,0.0007197468147925924,0.5900971799925044,0.5084735552301083
0.005338,0.0009001610802592138,0.0007207642374188174,0.590613106175344,0.5089490946883168
0.00534,0.0009013428225262146,0.0007217826112501281,0.5911291904587134,0.5094247601985213
0.0053419999999999995,0.0009025255971197906,0.0007228019365380023,0.5916454327292684,0.5099005511341808
0.005344,0.0009037094043558026,0.0007238222135326632,0.5921618328733134,0.5103764668673173
0.005346,0.0009048942445498834,0.0007248434424830766,0.592678390776797,0.5108525067685169
0.0053479999999999995,0.0009060801180174378,0.000725865623636948,0.5931951063253059,0.5113286702069321
0.00535,0.0009072670250736409,0.0007268887572407199,0.593711979404062,0.5118049565502816
0.005352,0.0009084549660334384,0.0007279128435395686,0.5942290098979152,0.5122813651648523
0.005353999999999999,0.0009096439412115449,0.0007289378827774019,0.5947461976913406,0.5127578954155018
0.005356,0.0009108339509224437,0.0007299638751968556,0.5952635426684321,0.5132345466656574
0.005358,0.0009120249954803856,0.0007309908210392906,0.5957810447128987,0.5137113182773194
0.00536,0.0009132170751993893,0.0007320187205447911,0.5962987037080588,0.5141882096110614
0.005362,0.0009144101903932388,0.0007330475739521608,0.596816519536836,0.5146652200260322
0.005364,0.0009156043413754842,0.0007340773814989198,0.5973344920817535,0.5151423488799571
0.005366,0.0009167995284594398,0.0007351081434213028,0.5978526212249198,0.515619595529148
0.0053679999999999995,0.0009179957519581839,0.0007361398599542554,0.5983709068480121,0.5160969593285183
0.00537,0.0009191930121845577,0.0007371725313314318,0.5988893488322886,0.5165744396315647
0.005372,0.0009203913094511646,0.0007382061577851915,0.5994079470585876,0.5170520357903664
0.0053739999999999994,0.0009215906440703688,0.0007392407395465973,0.599926701407323,0.5175297471555854
0.005376,0.0009227910163542954,0.0007402762768454112,0.6004456117584782,0.5180075730764683
0.005378,0.0009239924266148289,0.0007413127699100928,0.6009646779916028,0.518485512900848
0.005379999999999999,0.0009251948751636124,0.0007423502189677957,0.6014838999858063,0.518963565975144
0.005382,0.0009263983623120469,0.0007433886242443652,0.602003277619754,0.5194417316443652
0.005384,0.0009276028883712902,0.0007444279859643348,0.6025228107716611,0.5199200092521105
0.005386,0.000928808453652256,0.000745468304350924,0.6030424993192881,0.5203983981405698
0.0053879999999999996,0.0009300150584656131,0.0007465095796260354,0.6035623431399365,0.520876897650526
0.00539,0.0009312227031217844,0.0007475518120102516,0.6040823421104433,0.5213555071213564
0.005392,0.0009324313879309462,0.0007485950017228327,0.6046024961071751,0.5218342258910338
0.0053939999999999995,0.000933641113203027,0.000749639148981713,0.6051228050060251,0.5223130532961274
0.005396,0.0009348518792477063,0.0007506842540034988,0.6056432686824057,0.5227919886718062
0.005398,0.0009360636863744144,0.0007517303170034654,0.6061638870112455,0.5232710313518372
0.005399999999999999,0.0009372765348923306,0.0007527773381955541,0.606684659866983,0.5237501806685898
0.005402,0.0009384904251103829,0.0007538253177923695,0.6072055871235621,0.5242294359530355
0.005404,0.0009397053573372464,0.000754874256005177,0.6077266686544273,0.5247087965347499
0.005405999999999999,0.0009409213318813427,0.0007559241530438994,0.6082479043325182,0.5251882617419135
0.005408,0.0009421383490508387,0.0007569750091171148,0.6087692940302643,0.5256678309013137
0.00541,0.000943356409153646,0.0007580268244320533,0.6092908376195804,0.5261475033383466
0.005412,0.000944575512497419,0.0007590795991945943,0.609812534971861,0.5266272783770171
0.0054139999999999995,0.0009457956593895546,0.0007601333336092641,0.6103343859579761,0.5271071553399412
0.005416,0.000947016850137191,0.0007611880278792327,0.610856390448265,0.5275871335483474
0.005418,0.0009482390850472064,0.0007622436822063109,0.6113785483125325,0.5280672123220779
0.0054199999999999995,0.0009494623644262182,0.0007633002967909482,0.6119008594200422,0.5285473909795899
0.005422,0.0009506866885805817,0.0007643578718322297,0.6124233236395127,0.5290276688379572
0.005424,0.000951912057816389,0.000765416407527873,0.6129459408391124,0.5295080452128718
0.005425999999999999,0.0009531384724394682,0.0007664759040742255,0.6134687108864533,0.5299885194186447
0.005428,0.0009543659327553817,0.0007675363616662623,0.6139916336485869,0.5304690907682085
0.00543,0.0009555944390694258,0.0007685977804975829,0.6145147089919814,0.5309497585731346
0.005431999999999999,0.0009568239916866291,0.0007696601607604084,0.6150379367825164,0.5314305221436357
0.005434,0.0009580545909117511,0.000770723502645579,0.6155613168854943,0.53191138078855
0.005436,0.0009592862370492818,0.0007717878063425513,0.6160848491656361,0.5323923338153423
0.005438,0.0009605189304034397,0.0007728530720393953,0.6166085334870769,0.5328733805301055
0.0054399999999999995,0.0009617526712781707,0.000773919299922792,0.6171323697133596,0.5333545202375619
0.005442,0.0009629874599771481,0.0007749864901780304,0.6176563577074303,0.5338357522410643
0.005444,0.0009642232968037693,0.000776054642989005,0.6181804973316334,0.5343170758425971
0.0054459999999999995,0.0009654601820611569,0.0007771237585382126,0.6187047884477059,0.5347984903427797
0.005448,0.0009666981160521556,0.0007781938370067499,0.6192292309167732,0.5352799950408653
0.00545,0.0009679370990793323,0.000779264878574311,0.6197538245993426,0.5357615892347439
0.005451999999999999,0.0009691771314449738,0.0007803368834191841,0.6202785693552987,0.5362432722209431
0.005454,0.0009704182134510864,0.0007814098517182494,0.6208034650438987,0.5367250432946298
0.005456,0.0009716603453993939,0.0007824837836469759,0.6213285115237666,0.5372069017496118
0.005458,0.0009729035275913373,0.000783558679379419,0.6218537086528884,0.5376888468783385
0.00546,0.0009741477603280722,0.0007846345390882175,0.6223790562886063,0.5381708779719033
0.005462,0.0009753930439104688,0.000785711362944591,0.6229045542876144,0.5386529943200442
0.005464,0.0009766393786391097,0.0007867891511183372,0.6234302025059524,0.5391351952111454
0.0054659999999999995,0.0009778867648142892,0.0007878679037778294,0.6239560007990017,0.5396174799322389
0.005468,0.0009791352027360115,0.0007889476210900135,0.6244819490214791,0.5400998477690061
0.00547,0.0009803846927039898,0.0007900283032204055,0.6250080470274321,0.5405822980057787
0.0054719999999999994,0.0009816352350176445,0.0007911099503330885,0.6255342946702326,0.5410648299255405
0.005474,0.0009828868299761018,0.0007921925625907106,0.626060691802574,0.5415474428099286
0.005476,0.0009841394778781934,0.0007932761401544813,0.6265872382764638,0.5420301359392349
0.005477999999999999,0.0009853931790224533,0.00079436068318417,0.6271139339432191,0.542512908592408
0.00548,0.0009866479337071181,0.0007954461918381018,0.6276407786534617,0.5429957600470534
0.005482,0.0009879037422301253,0.0007965326662731566,0.6281677722571125,0.5434786895794361
0.005484,0.0009891606048891108,0.000797620106644765,0.628694914603386,0.5439616964644819
0.0054859999999999996,0.0009904185219814083,0.000798708513106906,0.6292222055407856,0.5444447799757774
0.005488,0.000991677493804048,0.0007997978858121048,0.629749644917098,0.5449279393855738
0.00549,0.0009929375206537553,0.0008008882249114292,0.6302772325793878,0.5454111739647862
0.0054919999999999995,0.0009941986028269483,0.0008019795305544883,0.6308049683739799,0.545894482983009
0.005494,0.0009954607406197375,0.0008030718028894285,0.6313328521464446,0.5463778657085254
0.005496,0.0009967239343279233,0.0008041650420629314,0.6318608837416129,0.5468613214082898
0.005497999999999999,0.0009979881842469957,0.0008052592482202115,0.6323890630035717,0.5473448493479275
0.0055,0.0009992534906721315,0.0008063544215050133,0.6329173897756605,0.5478284487917352
0.005502,0.0010005198538981938,0.0008074505620596081,0.6334458639004649,0.5483121190026831
0.005503999999999999,0.00100178727421973,0.0008085476700247921,0.6339744852198116,0.5487958592424157
0.005506,0.0010030557519309703,0.0008096457455398835,0.6345032535747632,0.5492796687712537
0.005508,0.0010043252873258265,0.0008107447887427198,0.6350321688056132,0.5497635468481953
0.00551,0.00100559588069789,0.0008118447997696548,0.6355612307518802,0.5502474927309177
0.0055119999999999995,0.0010068675323404305,0.0008129457787555574,0.6360904392523025,0.5507315056757777
0.005514,0.0010081402425463945,0.0008140477258338064,0.6366197941448338,0.5512155849378146
0.005516,0.0010094140116084034,0.0008151506411362905,0.6371492952666369,0.5516997297707501
0.0055179999999999995,0.0010106888398187523,0.0008162545247934039,0.6376789424540783,0.5521839394269904
0.00552,0.001011964727469408,0.0008173593769340449,0.6382087355427241,0.5526682131576282
0.005522,0.0010132416748520083,0.0008184651976856121,0.6387386743673332,0.5531525502124423
0.005523999999999999,0.0010145196822578587,0.0008195719871740026,0.6392687587618534,0.553636949839901
0.005526,0.0010157987499779327,0.0008206797455236091,0.6397989885594147,0.554121411287162
0.005528,0.0010170788783028686,0.0008217884728573173,0.6403293635923251,0.5546059338000753
0.005529999999999999,0.001018360067522969,0.0008228981692965032,0.6408598836920649,0.5550905166231824
0.005532,0.001019642317928198,0.0008240088349610309,0.6413905486892814,0.55557515899972
0.005534,0.0010209256298081809,0.0008251204699692492,0.6419213584137831,0.5560598601716199
0.005536,0.0010222100034522007,0.0008262330744379898,0.6424523126945353,0.5565446193795108
0.0055379999999999995,0.0010234954391491987,0.0008273466484825644,0.6429834113596541,0.55702943586272
0.00554,0.0010247819371877714,0.0008284611922167617,0.6435146542364012,0.5575143088592742
0.005542,0.001026069497856168,0.0008295767057528453,0.6440460411511787,0.5579992376059011
0.0055439999999999994,0.0010273581214422908,0.0008306931892015512,0.6445775719295239,0.5584842213380307
0.005546,0.0010286478082336915,0.0008318106426720847,0.6451092463961038,0.558969259289797
0.005548,0.0010299385585175703,0.0008329290662721182,0.6456410643747093,0.5594543506940391
0.005549999999999999,0.0010312303725807746,0.0008340484601077883,0.6461730256882509,0.5599394947823032
0.005552,0.0010325232507097963,0.0008351688242836938,0.6467051301587509,0.5604246907848439
0.005554,0.0010338171931907707,0.0008362901589028923,0.6472373776073197,0.560909937930646
0.005556,0.0010351122003094744,0.0008374124640668984,0.6477697678541546,0.5613952354474198
0.005558,0.0010364082723513233,0.0008385357398756805,0.6483023007185506,0.5618805825615886
0.00556,0.001037705409601371,0.000839659986427659,0.6488349760188947,0.5623659784982888
