t_s,x0_m,x1_m,v0_m_per_s,v1_m_per_s
0.00041,6.896522322923536e-08,1.0813500411162603e-09,0.0006664359398736903,1.5444932223707323e-05
0.000412,7.030769859209805e-08,1.1126081482379671e-09,0.0006760562132251449,1.5814474769747453e-05
0.000414,7.16695041627864e-08,1.144612303087494e-09,0.0006857662155786741,1.619099797720162e-05
0.000416,7.30508197610301e-08,1.1773765633849973e-09,0.0006955663084811914,1.657459839973762e-05
0.00041799999999999997,7.4451825928699e-08,1.2109151807925511e-09,0.000705456852525403,1.6965373426067196e-05
0.00041999999999999996,7.587270392789205e-08,1.2452426025866878e-09,0.0007154382073471957,1.7363421282393278e-05
0.00042199999999999996,7.7313635739021e-08,1.2803734733358111e-09,0.0007255107316230442,1.7768841034837866e-05
0.000424,7.877480405888905e-08,1.3163226365824465e-09,0.0007356747830674339,1.8181732591850763e-05
0.000426,8.025639229876434e-08,1.3531051365302906e-09,0.0007459307184303053,1.86021967065989e-05
0.000428,8.175858458244824e-08,1.3907362197360177e-09,0.0007562788934945149,1.9030334979336288e-05
0.00043,8.328156574433873e-08,1.4292313368058094e-09,0.0007667196630733172,1.9466249859754536e-05
0.000432,8.48255213274886e-08,1.4686061440965635e-09,0.0007772533810078636,1.9910044649313917e-05
0.000434,8.63906375816589e-08,1.508876505421747e-09,0.0007878804001647205,2.036182350355487e-05
0.00043599999999999997,8.797710146136722e-08,1.5500584937618524e-09,0.0007986010724334076,2.0821691434389923e-05
0.00043799999999999997,8.958510062393111e-08,1.5921683929794173e-09,0.0008094157487239538,2.128975431237596e-05
0.00043999999999999996,9.121482342750676e-08,1.6352226995385688e-09,0.0008203247789644728,2.1766118868966907e-05
0.00044199999999999996,9.286645892912266e-08,1.6792381242290562e-09,0.0008313285120987573,2.2250892698746557e-05
0.000444,9.454019688270867e-08,1.724231593894725e-09,0.0008424272960838936,2.274418426164174e-05
0.000446,9.623622773712018e-08,1.770220253166402e-09,0.000853621477887893,2.3246102885115592e-05
0.000448,9.795474263415763e-08,1.8172214661991446e-09,0.0008649114034873448,2.3756758766341002e-05
0.00045,9.969593340658128e-08,1.8652528184138168e-09,0.0008762974178650875,2.4276262974354128e-05
0.000452,1.014599925761215e-07,1.914332118242954e-09,0.0008877798650078991,2.4804727452187963e-05
0.000454,1.0324711335148422e-07,1.964477398880873e-09,0.0008993590879042072,2.5342265018985875e-05
0.00045599999999999997,1.050574896263521e-07,2.015706920037991e-09,0.0009110354285418188,2.588898937209517e-05
0.00045799999999999997,1.0689131597738092e-07,2.0680391696993104e-09,0.0009228092279056681,2.644501508914044e-05
0.00045999999999999996,1.0874878766219166e-07,2.12149286588703e-09,0.0009346808259755855,2.7010457630076877e-05
0.00046199999999999995,1.1063010061735802e-07,2.1760869584272432e-09,0.0009466505617240852,2.758543333922339e-05
0.000464,1.1253545145638968e-07,2.231840630720683e-09,0.0009587187731141727,2.8170059447275447e-05
0.000466,1.1446503746771103e-07,2.28877330151747e-09,0.0009708857970971718,2.876445407329772e-05
0.000468,1.1641905661263567e-07,2.346904626695828e-09,0.0009831519696105711,2.9368736226696375e-05
0.00047,1.1839770752333663e-07,2.406254501044723e-09,0.00099551762557589,2.9983025809171017e-05
0.000472,1.2040118950081222e-07,2.4668430600503845e-09,0.0010079830988965653,3.060744361664627e-05
0.000474,1.2242970251284798e-07,2.52869068168667e-09,0.001020548722455857,3.124211134118289e-05
0.00047599999999999997,1.2448344719197393e-07,2.591817988209235e-09,0.001033214828114774,3.1887151572868414e-05
0.00047799999999999996,1.2656262483341833e-07,2.656245847953456e-09,0.0010459817467100188,3.254268780168734e-05
0.00047999999999999996,1.2866743739305682e-07,2.7219953771360815e-09,0.001058849808051954,3.320884441937068e-05
0.00048199999999999995,1.3079808748535777e-07,2.7890879416605562e-09,0.0010718193409225865,3.3885746721224986e-05
0.000484,1.3295477838132362e-07,2.8575451589259857e-09,0.0010848906730735748,3.4573520907940706e-05
0.000486,1.3513771400642816e-07,2.9273888996396928e-09,0.0010980641312242515,3.527229408737987e-05
0.000488,1.373470989385499e-07,2.998641289633335e-09,0.0011113400410596706,3.5982194276343116e-05
0.00049,1.3958313840590167e-07,3.0713247116825294e-09,0.0011247187272286731,3.670335040231588e-05
0.0004919999999999999,1.4184603828495617e-07,3.145461807329954e-09,0.001138200513341971,3.743589230519394e-05
0.000494,1.4413600509836785e-07,3.221075478711875e-09,0.0011517857219702549,3.817995073898799e-05
0.000496,1.46453246012891e-07,3.2981888903880647e-09,0.0011654746746423185,3.8935657373507475e-05
0.000498,1.4879796883729416e-07,3.3768254711750664e-09,0.0011792676918432048,3.9703144796023454e-05
0.0005,1.511703820202706e-07,3.457008915982763e-09,0.0011931650930123738,4.04825465129106e-05
0.000502,1.535706946483455e-07,3.53876318765421e-09,0.0012071671965418881,4.127399695126824e-05
0.000504,1.5599911644377934e-07,3.622112518808687e-09,0.0012212743197746203,4.207763146052033e-05
0.0005059999999999999,1.5845585776246768e-07,3.7070814136879325e-09,0.00123548677900248,4.2893586313994463e-05
0.000508,1.6094112959183751e-07,3.79369465000551e-09,0.0012498048894646623,4.3721998710479785e-05
0.0005099999999999999,1.6345514354874007e-07,3.881977280799275e-09,0.0012642289653459157,4.4563006775763856e-05
0.000512,1.6599811187734032e-07,3.971954636286889e-09,0.0012787593197748299,4.5416749564148326e-05
0.000514,1.6857024744700282e-07,4.063652325724349e-09,0.0012933962648221471,4.628336705994346e-05
0.000516,1.711717637501744e-07,4.157096239267478e-09,0.0013081401114990899,4.7163000178941506e-05
0.000518,1.7380287490026347e-07,4.252312549836347e-09,0.001322991169755713,4.805579076986885e-05
0.00052,1.7646379562951609e-07,4.349327714982581e-09,0.0013379497484792727,4.8961881615816837e-05
0.000522,1.7915474128688877e-07,4.448168478759498e-09,0.0013530161554926186,4.988141643565136e-05
0.0005239999999999999,1.8187592783591784e-07,4.548861873595052e-09,0.0013681906975526075,5.081453988540116e-05
0.000526,1.846275718525863e-07,4.651435222167533e-09,0.0013834736803485335,5.1761397559624715e-05
0.0005279999999999999,1.8740989052318677e-07,4.75591613928397e-09,0.0013988654085005836,5.272213599275581e-05
0.00053,1.9022310164218194e-07,4.862332533761213e-09,0.0014143661855583118,5.369690266042766e-05
0.000532,1.930674236100617e-07,4.970712610309639e-09,0.0014299763139991339,5.468584598077566e-05
0.000534,1.9594307543119756e-07,5.0810848714194415e-09,0.0014456960952268425,5.56891153157186e-05
0.000536,1.9885027671169363e-07,5.193478119249459e-09,0.0014615258295701445,5.670686097221845e-05
0.000538,2.0178924765723531e-07,5.307921457518508e-09,0.0014774658162812187,5.773923420351859e-05
0.00054,2.0476020907093465e-07,5.42444429339916e-09,0.0014935163535342937,5.878638721036057e-05
