t_s,x0_m,v0_m_per_s
0.000404,3.6970637835667715e-06,0.03405228192144105
0.000406,3.7656087123188506e-06,0.03449320420549413
0.000408,3.835038456318021e-06,0.03493709596875778
0.00041,3.905358948065318e-06,0.03538395071873014
0.000412,3.976576106889788e-06,0.0358337617761049
0.000414,4.048695838575834e-06,0.03628652227572223
0.000416,4.1217240349924655e-06,0.03674222516752935
0.00041799999999999997,4.195666573724481e-06,0.0372008632175509
0.00041999999999999996,4.2705293177056e-06,0.03766242900886891
0.00042199999999999996,4.3463181148535674e-06,0.038126914942612215
0.000424,4.4230387977072436e-06,0.038594313238955326
0.000426,4.5006971830657005e-06,0.03906461593812662
0.000428,4.579299071629347e-06,0.039537814901425807
0.00043,4.658850247643099e-06,0.040013901812250445
0.000432,4.739356478541599e-06,0.04049286817713158
0.000434,4.820823514596541e-06,0.04097470532677834
0.00043599999999999997,4.903257088566064e-06,0.04145940441713121
0.00043799999999999997,4.986662915346286e-06,0.04194695643042435
0.00043999999999999996,5.071046691624954e-06,0.04243735217625634
0.00044199999999999996,5.156414095537253e-06,0.042930582292669585
0.000444,5.24277078632378e-06,0.04342663724723818
0.000446,5.3301224039907025e-06,0.04392550733816415
0.000448,5.418474568972113e-06,0.04442718269538196
0.00045,5.507832881794615e-06,0.04493165328167115
0.000452,5.59820292274412e-06,0.045438908893777136
0.000454,5.689590251534918e-06,0.045948939163539974
0.00045599999999999997,5.782000406980991e-06,0.04646173355903095
0.00045799999999999997,5.875438906669627e-06,0.046977281385696956
0.00045999999999999996,5.969911246637318e-06,0.047495571787512646
0.00046199999999999995,6.0654229010479755e-06,0.048016593748140046
0.000464,6.161979321873469e-06,0.0485403360920958
0.000466,6.259585938576511e-06,0.04906678748592563
0.000468,6.358248157795892e-06,0.04959593643938622
0.00047,6.457971363034094e-06,0.05012777130663422
0.000472,6.558760914347282e-06,0.05066228028742234
0.000474,6.660622148037701e-06,0.05119945142830247
0.00047599999999999997,6.763560376348479e-06,0.051739272623835604
0.00047799999999999996,6.867580887160866e-06,0.05228173161780867
0.00047999999999999996,6.9726889436939025e-06,0.05282681600445787
0.00048199999999999995,7.078889784206552e-06,0.05337451322969877
0.000484,7.18618862170229e-06,0.05392481059236278
0.000486,7.294590643636182e-06,0.054477695245439994
0.000488,7.404101011624447e-06,0.055033154197328356
0.00049,7.514724861156524e-06,0.05559117431308899
0.0004919999999999999,7.626467301309665e-06,0.05615174231570759
0.000494,7.739333414466046e-06,0.056714844787361725
0.000496,7.853328256032422e-06,0.05728046817069415
0.000498,7.96845685416234e-06,0.05784859877009172
0.0005,8.08472420948091e-06,0.05841922275297003
0.000502,8.202135294812141e-06,0.05899232615106368
0.000504,8.320695054908893e-06,0.05956789486172184
0.0005059999999999999,8.440408406185392e-06,0.060145914649209375
0.000508,8.561280236452367e-06,0.060726371146012946
0.0005099999999999999,8.683315404654808e-06,0.06130924985415253
0.000512,8.80651874061235e-06,0.06189453614649782
0.000514,8.93089504476229e-06,0.062482215268089586
0.000516,9.056449087905251e-06,0.06307227233746589
0.000518,9.183185610953516e-06,0.06366469234799307
0.00052,9.311109324682009e-06,0.06425946016920125
0.000522,9.440224909481968e-06,0.06485656054812444
0.0005239999999999999,9.570537015117297e-06,0.06545597811064507
0.000526,9.702050260483605e-06,0.06605769736284282
0.0005279999999999999,9.834769233369959e-06,0.06666170269234763
0.00053,9.968698490223337e-06,0.06726797836969682
0.000532,1.0103842555915807e-05,0.06787650854969642
0.000534,1.0240205923514423e-05,0.06848727727278595
0.000536,1.0377793054053867e-05,0.06910026846640752
0.000538,1.051660837631182e-05,0.06971546594637822
0.00054,1.0656656286587091e-05,0.07033285341826634
