prototype,membrane_v_peak_m_per_s,t_peak_s,membrane_x_max_m,input_work_J,stage_interval_s,ring_p2p_m_per_s,ring_zero_crossings
A,0.4691985774815217,0.002768,0.004146751400998512,0.0026150982306355655,nan,0.1304213746221109,0
B,8.939013727400763,0.0197,0.007488260948031086,0.01996274315908025,nan,11.658233732768094,2
C,10.572821673614758,0.022424,0.008929840891844192,0.037622724988776717,0.007209999999999999,0.4840534650312163,1
